epoch,train_loss,val_loss
1,1.0723503250064272,0.6251071463856432
2,0.32877166328406093,0.4155976180401113
3,0.20525955145407204,0.3481280621555116
4,0.1649614033674953,0.32383103254768586
5,0.14054280527011312,0.3247245037410822
6,0.16446248968743316,0.34724847765432465
7,0.14019190399634718,0.3087468906823132
8,0.12593544643334667,0.313882140442729
9,0.11737941965611294,0.30941378480444354
10,0.12145042389330238,0.3036073522331814
11,0.11994363382609204,0.3101220323264392
12,0.0977776570603101,0.2942263282990704
13,0.10173288123174147,0.3407353493643718
14,0.09877775489079832,0.31515984723551405
15,0.09446675638959866,0.33736033910988933
16,0.09467274289239537,0.3029758648739921
17,0.09355852444364567,0.33927950447994387
18,0.0982193092655654,0.3301736819040444
19,0.08791558053156343,0.3037265699563755
20,0.09397779803986502,0.33119279420417214
21,0.09049073015951146,0.3428234323962695
22,0.09172831152123634,0.34788980790310436
23,0.08597799055654594,0.3389822116846012
24,0.08531065552373125,0.3155959321496387
25,0.08592333068901842,0.32167233524119687
26,0.08382127027619969,0.32704091175562805
27,0.08185104017305855,0.31664683001064176
28,0.08138077593210971,0.30629339289023644
29,0.08490552835994297,0.33434653367536765
30,0.08402135802639855,0.3154369911547595
31,0.08189912238205323,0.3474531514156196
32,0.08284396606713834,0.3305938220065501
33,0.09067504781514707,0.3452292061928246
34,0.08109383300097302,0.35066399035147494
35,0.07871988167365392,0.3331391715134184
36,0.08035816733885293,0.3475109758372936
37,0.07517179922022,0.3315375233327763
38,0.07935883255317958,0.3188290329805265
39,0.08520869338753248,0.3253743262547586
40,0.07934568957848982,0.32215292625025743
41,0.07825201102579483,0.33431989337421125
42,0.08045760011582663,0.33711534707496565
43,0.07594526547825697,0.3435949600405163
44,0.07310597414169649,0.34303062973130083
45,0.07277727879659095,0.35965417397932875
46,0.0733918228534737,0.32761222729459405
47,0.07153694832114259,0.34098578922243583
48,0.07901595085106715,0.354243549466547
49,0.06955835185568741,0.32829578350194627
50,0.07196059318804982,0.352744599752542
51,0.08295477467654931,0.3724954712928997
52,0.07384632396126034,0.34050346807473236
53,0.07503053414249661,0.3488534264680412
54,0.08129759324770985,0.34725652345352703
55,0.06881778167955803,0.33305650882215965
56,0.06396204530440196,0.31446717829546994
57,0.061368294436522204,0.33113459865045214
58,0.06150142498540156,0.3295115614309907
59,0.06527652851108348,0.31938129518595004
60,0.06291009267472257,0.3302180055114958
61,0.07158328062205603,0.35403209805695546
62,0.06651316060110776,0.3249773671850562
63,0.06052619587592404,0.3245546405410601
64,0.05751186048593184,0.3533097811871105
65,0.06932619714526216,0.36260331272044116
66,0.06971733618264246,0.35098425997421145
67,0.06052970604011507,0.3412303870750798
68,0.0654400150206956,0.3397186103587349
69,0.0715617294037583,0.33762368575359386
70,0.05912263130750319,0.32144497795444393
71,0.056858941235325554,0.34181326498380965
72,0.06865499582555559,0.33625584507050615
73,0.06998485518675862,0.3550976948916084
74,0.06614556125920228,0.33285863213758504
75,0.06509327948695481,0.3277223522050513
76,0.0657067426452131,0.34451378964715534
77,0.06669842534595066,0.3423521138417224
78,0.07841655890447925,0.3291689958940778
79,0.07202671321504044,0.3318755328137841
80,0.05892913717061582,0.34154496961531955
81,0.0581494246167366,0.32863940817252213
82,0.06186555563048883,0.347695335952772
83,0.06744485837642593,0.35423360966766876
84,0.06604489176110788,0.3416867996048596
85,0.06265891516449476,0.3334329508555432
86,0.06619337253799343,0.345158113580611
87,0.05721594344335373,0.34681362674261135
88,0.05933829773255069,0.3452146983601981
89,0.0703264596787366,0.3205234858259145
90,0.06535018359621365,0.3431721785519686
91,0.05653424914738144,0.3418306446530753
92,0.05613513087684458,0.36019393941387534
93,0.058945097631276255,0.33670547392426264
94,0.055590446511603366,0.3488844815745122
95,0.05886324506365892,0.33463722286331987
96,0.057024877029235914,0.35476113648878205
97,0.0524433535156828,0.3498322569972111
98,0.05721721959987072,0.3467009900034302
99,0.05449061430614404,0.3584020338021219
100,0.054091314550000005,0.35729616528583896
101,0.05617336876163579,0.3457864122465253
102,0.05658637769896575,0.35597596446880037
103,0.05387205295641013,0.3425685179212855
104,0.051054576882208234,0.33604549187132055
105,0.056081427882115044,0.35448127834954196
106,0.05129366635222628,0.35238017382410664
107,0.051847842681889585,0.35182362324040795
108,0.05285528189305103,0.3616628243212795
109,0.05130606848332617,0.34911072639644974
110,0.055546433787153224,0.36649856131730807
111,0.05243930792567706,0.35726686996511287
112,0.05106298501292864,0.3674182005149002
113,0.051244681569361926,0.35002748591230354
114,0.052137382554285454,0.35670062335621977
115,0.051223217387392064,0.3295199001311428
116,0.05097573322027621,0.3387999937662648
117,0.05449925430796363,0.33587123117306167
118,0.0520153438503092,0.3487717316278981
119,0.05353537141674697,0.3427838921650416
120,0.053295313672284884,0.3470909930248227
121,0.0515414738670142,0.35299731315010124
122,0.05062714437342653,0.3495772612384624
123,0.06317146950297886,0.35086842258978224
124,0.05191489572476859,0.33345991942203707
125,0.05234519486324956,0.3359286411044498
126,0.05028816782916435,0.3739103301583479
127,0.05168121706957769,0.3574459923224317
128,0.051426534475100164,0.3541973900153405
129,0.05107619380108034,0.3638859834625489
130,0.05076285922015556,0.3662764276377857
131,0.048928900913457675,0.3425897325699528
132,0.05402779891484916,0.3393593768640939
133,0.057964451084233294,0.3651987777815925
134,0.05900360643863678,0.3582436509637369
135,0.05018208522086191,0.357444461228119
136,0.048074973615432025,0.3598620353990959
137,0.05537470106524651,0.3529473808594048
138,0.04878369575799114,0.36604700620389646
139,0.05431284040513665,0.3318985798913572
140,0.05417783103055424,0.3639375436533656
141,0.051557416416177844,0.34368292718297905
142,0.053070256618237256,0.36553164664655924
143,0.052525690483926524,0.37767532255707514
144,0.04843733591413257,0.3686515047835807
145,0.051192605548133756,0.3467871604176859
146,0.04978214121527142,0.3369482230498559
147,0.05176329906239654,0.3495842351112515
148,0.049180650462706886,0.35485678248935276
149,0.051143920406548665,0.34438381069857216
150,0.04779026947087712,0.3755768621340394
151,0.0477817900704615,0.36608318482629126
152,0.04723326891961724,0.3692579535870916
153,0.04840743579346724,0.37404883143285084
154,0.04717725680934058,0.38228223379701376
155,0.04831225522840866,0.34994519041437244
156,0.04788743015943152,0.3426070226252907
157,0.047731142980281756,0.3454184300887088
158,0.04628132430441452,0.34270085885913837
159,0.04701725912816597,0.35966314684547895
160,0.0495835839573181,0.37762502163079464
161,0.04752772858347556,0.35336477477620876
162,0.049655165673807414,0.3870957273369034
