split,target,n,r2,mae,rmse,factor_error_rmse
train_group,density_kg_m3,78517,0.9875646574179728,11.527551924215059,18.340397115383723,
train_group,cp_JkgK,9110,0.9852672819062418,30.031616559326977,46.373029769079935,
train_group,log10_viscosity_mPa_s,47578,0.9759961891279972,0.07803291874708264,0.1203401790654368,1.3192897220290516
test_group,density_kg_m3,26489,0.9166296452001441,15.580469963842098,47.080675812366394,
test_group,cp_JkgK,3427,0.8934018087494779,75.79259984973989,121.09642162030597,
test_group,log10_viscosity_mPa_s,16614,0.9371789106740878,0.12197150271805736,0.20869992650924488,1.616962419891973
